path,dataset,method,seed,train_scenario,test_scenario,train_degradation_rate,test_degradation_rate,accuracy,precision,recall,f1,fpr,auroc,benign_train_min,benign_train_mean,benign_train_max,benign_test_min,benign_test_mean,benign_test_max,malicious_min,malicious_mean,malicious_max
results/low_volume/lanl_gnn_low_volume_to_low_volume_0.0_seed43.json,lanl,gnn,43.0,low_volume,low_volume,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.9e-07,6.506e-05,0.0033267,1.023e-05,4.655e-05,0.00019049,0.00695344,0.0250585,0.07240687
results/low_volume/lanl_topogcl_low_volume_to_low_volume_0.3_seed44.json,lanl,topogcl,44.0,low_volume,low_volume,0.3,0.3,1.0,1.0,1.0,1.0,0.0,1.0,0.00100832,0.00651007,0.09214355,0.00289988,0.0087929,0.02081276,0.09739229,0.18717279,0.32645014
results/low_volume/lanl_topogcl_clean_to_low_volume_0.1_seed44.json,lanl,topogcl,44.0,clean,low_volume,0.0,0.1,1.0,1.0,1.0,1.0,0.0,1.0,0.00081356,0.00622685,0.09192657,0.00834272,0.01430006,0.02329789,0.11399475,0.19134987,0.29530039
results/low_volume/lanl_gnn_low_volume_to_low_volume_0.3_seed43.json,lanl,gnn,43.0,low_volume,low_volume,0.3,0.3,1.0,1.0,1.0,1.0,0.0,1.0,1.73e-06,8.369e-05,0.00428572,7.49e-06,0.0001266,0.0004696,0.02070818,0.04405721,0.0761766
results/low_volume/lanl_gnn_clean_to_low_volume_0.4.json,lanl,gnn,,clean,low_volume,0.0,0.4,0.98,0.98,1.0,0.99,0.39,1.0,,,,,,,,,
results/low_volume/lanl_gnn_low_volume_to_low_volume_0.3_seed42.json,lanl,gnn,42.0,low_volume,low_volume,0.3,0.3,1.0,1.0,1.0,1.0,0.0,1.0,2.73e-06,0.0001934,0.01017045,6.04e-06,0.00026563,0.00125298,0.03907811,0.10625576,0.19255401
results/low_volume/lanl_topogcl_clean_to_low_volume_0.1_seed46.json,lanl,topogcl,46.0,clean,low_volume,0.0,0.1,1.0,1.0,1.0,1.0,0.0,1.0,0.00090558,0.00694479,0.0980525,0.01208466,0.01818505,0.02911493,0.12696433,0.20505901,0.27115366
results/low_volume/lanl_topogcl_low_volume_to_low_volume_0.3.json,lanl,topogcl,42.0,low_volume,low_volume,0.3,0.3,1.0,1.0,1.0,1.0,0.0,1.0,,,,,,,,,
results/low_volume/lanl_gnn_clean_to_low_volume_0.0_seed43.json,lanl,gnn,43.0,clean,low_volume,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.9e-07,6.506e-05,0.0033267,1.023e-05,4.655e-05,0.00019049,0.00695344,0.0250585,0.07240687
results/low_volume/lanl_gnn_clean_to_low_volume_0.0_seed45.json,lanl,gnn,45.0,clean,low_volume,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.2e-07,8.935e-05,0.00473867,9.5e-06,5.147e-05,0.00025402,0.01164267,0.03351663,0.07503449
